,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,end_latlng,external_id
362,2264444548,Carrera de mañana,2018-12-01T07:22:16Z,Run,9473.0,2700,3005,146.0,"[42.351305, -71.204561]",file.fit
363,2264444639,Carrera de tarde,2018-11-29T14:28:03Z,Run,8881.0,2387,2703,296.0,"[41.397321, 2.124245]",file.fit
364,2264444659,Carrera de tarde,2018-11-27T14:25:38Z,Run,7343.0,2580,2665,383.0,"[41.397348, 2.124243]",file.fit
365,2264444802,Carrera de tarde,2018-11-26T14:32:32Z,Run,8502.0,2551,2555,298.0,"[41.3975, 2.124068]",file.fit
366,2264444624,Carrera de mañana,2018-11-24T10:05:37Z,Run,13015.0,3551,3697,76.0,"[41.400264, 2.213692]",file.fit
367,2264444799,Carrera de tarde,2018-11-22T14:31:59Z,Run,7306.0,2266,2732,397.0,"[41.397698, 2.125035]",file.fit
368,1978511311,Carrera de tarde,2018-11-21T13:04:46Z,Run,10020.0,2718,2718,0,,file.fit
369,1978511416,Carrera de tarde,2018-11-19T14:26:43Z,Run,9407.0,2843,3308,341.0,"[41.397296, 2.124538]",file.fit
370,1978511213,Carrera de tarde,2018-11-16T17:00:17Z,Run,8011.0,2089,2797,91.0,"[41.40922, 2.165516]",file.fit
371,1978511108,Carrera de tarde,2018-11-14T14:26:13Z,Run,9450.0,2731,2743,330.0,"[41.397408, 2.124155]",file.fit
372,1978511380,Carrera de tarde,2018-11-13T13:26:30Z,Run,8946.0,2705,2705,0,,file.fit
373,1978511335,Carrera de tarde,2018-11-12T13:25:29Z,Run,10031.0,2889,2889,0,,file.fit
374,1978512757,Actividad de mañana,2018-11-10T09:51:55Z,NordicSki,12968.0,8107,10144,1626.0,"[42.349502, 1.900774]",file.fit
375,1978511279,Carrera de noche,2018-11-07T19:20:40Z,Run,10392.5,2790,2910,82.0,"[41.403718, 2.173612]",file.fit
376,1978511293,Carrera de tarde,2018-11-06T13:20:16Z,Run,9072.0,2780,2780,0,,file.fit
377,1978511154,Carrera a la hora del almuerzo,2018-11-05T12:59:55Z,Run,9676.0,2841,2841,0,,file.fit
378,1978512463,Carrera de mañana,2018-11-03T10:11:21Z,Run,10041.0,2773,2858,93.0,"[41.407137, 2.168796]",file.fit
